speaker,dialogue,author,title,comedia
Enrico,"¿Qué aguardo? ¿Con quién, Celia?",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Celia,"Con Lisardo, y estoy muy bien empleada.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Enrico,Matarele.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Celia,"Dejaos deso, y poneos bien con Dios, que habéis de morir los dos.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Lidora,"Vamos, Celia.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Enrico,"Pierdo el seso. Celia, mira.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Celia,Estoy de prisa.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Pedrisco,"Por Dios, que estoy por reírme.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Celia,"Ya sé que queréis decirme que se os diga alguna misa. Yo lo haré, quedad con Dios.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Enrico,¡Quién rompiera aquestas rejas!,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Lidora,"No escuches, Celia, más quejas; vámonos de aquí las dos.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Enrico,¡Que esto sufro!,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Pedrisco,¿Hay tal crueldad? ¡Lo que pesa este talego!,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Celia,¡Qué braveza!,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Enrico,Yo estoy ciego. ¿Hay tan grande libertad?,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Pedrisco,"Yo no entiendo la moneda que hay en aqueste talego, que vive Dios que no pesa una paja.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Enrico,"¡Santos cielos, que aquestas afrentas sufra! ¿Cómo no rompo estos hierros? ¿Cómo estas rejas no arranco?",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Pedrisco,Detente.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Enrico,"Déjame, necio. ¡Vive Dios que he de rompellas y he de castigar mis celos!",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Pedrisco,Los porteros vienen.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Enrico,Vengan.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Portero,Ha perdido acaso el seso el homicida ladrón.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Enrico,"Moriré si no me vengo, de mi cadena haré espada.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Pedrisco,Que te detengas te ruego.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Portero,"¡Asilde, matalde, muera!",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Enrico,"Hoy veréis, infames presos, de los celos el poder en desesperados pechos.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Portero,Un eslabón me alcanzó y dio conmigo en el suelo.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Enrico,¿Por qué cobardes huís?,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Pedrisco,Un portero deja muerto.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Dentro,¡Matalde!,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Enrico,¿Qué es matar? A falta de noble acero no es mala aquesta cadena con que mis agravios vengo. ¿Para qué de mí huís?,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Pedrisco,Al alboroto y estruendo se ha levantado el alcaide.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Alcaide,"¡Hola, teneos! ¿Qué es esto?",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Portero,Ha muerto aquese ladrón a Fidelio.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Alcaide,"Vive el cielo, que a no saber que mañana dando público escarmiento has de morir ahorcado, que hiciera en tu aleve pecho mil bocas con esta daga.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Enrico,"¿Que esto sufro, Dios eterno? ¿Que mal me traten ansí? Fuego por los ojos vierto. No pienses, alcaide infame, que te tengo algún respeto por el oficio que tienes, sino porque más no puedo. Que a poder ¡ah cielo airado!, entre mis brazos soberbios te hiciera dos mil pedazos, y despedazado el cuerpo me le comiera a bocados, y que no quedara pienso satisfecho de mi agravio.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Alcaide,Mañana a las diez veremos si es más valiente un verdugo que todos vuestros aceros. Otra cadena le echad.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Enrico,"Eso sí, vengan más hierros, que de yerros no se escapa hombre que tantos ha hecho.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Alcaide,Metelde en un calabozo.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Enrico,"Aquése sí es justo premio, que hombre de Dios enemigo no es justo que mire al cielo.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Portero,¡Pobre y desdichado Enrico!,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Pedrisco,Más desdichado es el muerto que el cadenazo cruel le echó en la tierra los sesos.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Portero,Ya quieren dar la comida.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Dentro,"Vayan llegando, mancebos, por la comida.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Pedrisco,"En buen hora, porque mañana sospecho que han de añudarme el tragar, y será acertado medio que lleve la alforja hecha para que allá convidemos a los demonios magnates a la entrada del infierno.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Enrico,"En lóbrega confusión ya, valiente Enrico, os veis, pero nunca desmayéis, tened fuerte corazón, porque aquesta es la ocasión en que tenéis de mostrar el valor que os he de dar nombre altivo, ilustre fama: mirad.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Dentro,¿Enrico?,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Enrico,¿Quién llama? Esta voz me hace temblar. Los cabellos erizados pronostican mi temor. ¿Mas dónde está mi valor? ¿Dónde mis hechos pasados?,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
