speaker,dialogue,author,title,comedia
Anareto,"Yo, Enrico, quisiera -por llegar siempre a temer que en viéndote es la postrera vez que te tengo de ver, porque aquesta enfermedad me trata con tal crueldad- que quisiera que tomaras estado.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Enrico,¿En eso reparas? Cúmplase tu voluntad. Mañana pienso casarme. (Aparte.) (Quiero darle aqueste gusto aunque finja).,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Anareto,Será darme la salud.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Enrico,Hacer es justo lo que tú puedes mandarme.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Anareto,"Moriré, Enrico, contento.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Enrico,"Darte gusto en todo intento, porque veas desta suerte que por sólo obedecerte me sujeto al casamiento.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Anareto,"Pues, Enrico, como viejo te quiero dar un consejo. No busques mujer hermosa, porque es cosa peligrosa ser en cárcel mal segura alcaide de una hermosura donde es la afrenta forzosa. Está atento, Enrico.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Enrico,Di.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Anareto,"Y nunca entienda de ti que de su amor no te fías, que viendo que desconfías, todo lo ha de hacer ansí. Con tu mismo ser la iguala; ámala, sirve y regala; con celos no la des pena, que no hay mujer que sea buena si ve que piensan que es mala. No declares tu pasión hasta llegar la ocasión, y luego...",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Enrico,"Venciole el sueño, que es de los sentidos dueño, al dar la mejor lición. Quiero la ropa llegalle y desta suerte dejalle hasta que repose.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Enrico,¿Pues yo he de ser tirano?,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Enrico,¿Yo le he de matar por un interés liviano?,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Enrico,"Galván, estos dos ojos que están con este sueño cubiertos, por mirar que están despiertos aqueste temor me dan. No me atrevo, aunque mi nombre tiene su altivo renombre en las memorias escrito, intentar tan gran delito donde está durmiendo este hombre.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Enrico,"Un hombre eminente a quien temo solamente y en esta vida respeto, que para el hijo discreto es el padre muy valiente. Si conmigo le llevara siempre, nunca yo intentara los delitos que condeno, pues fuera su vista el freno que la ocasión me tirara. Pero corre esa cortina, que en no verle podrá ser, pues mi valor afemina, que rigor venga a tener si ahora piedad me inclina.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Enrico,"Galván, ahora que no le veo, ni sus ojos luz me dan, matemos, si es tu deseo, cuantos en el mundo están.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Enrico,"Pues él a buscarla viene, dale por muerto.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Albano,"El Sol a poniente va, como va mi edad también, y con cuidado estará mi esposa.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Enrico,"Brazo, detén.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Enrico,"Miro un hombre que es retrato y viva imagen de aquél a quien siempre de honrar trato; pues di, si aquí soy cruel, ¿no seré a mi padre ingrato? Hoy de mis manos tiranas por ser viejo, Albano, ganas la cortesía que esperas, que son piadosas terceras, aunque mudas, esas canas. Vete libre, que repara mi honor -que así se declara, aunque a mi opinión no cuadre- que pensara que a mi padre mataba si te matara. Ay, canas, las que aborrecen, pocos las ofenderán, pues tan seguras se van cuando enemigos se ofrecen.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Enrico,Poco mi valor ofendo.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Enrico,"No es eso lo que pretendo. A nadie temí en mi vida; varios delitos he hecho; he sido fiero homicida, y no hay maldad que en mi pecho no tenga siempre acogida; pero en llegado a mirar las canas que supe honrar porque en mi padre las vi, todo el furor reprimí y las procuré estimar. Si yo supiera que Albano era de tan larga edad, nunca de Laura al hermano prometiera tal crueldad.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Enrico,Podrá ser.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Enrico,"Podrá ser, si quiero yo.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Otavio,A Albano encontré vivo y sano como yo.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Enrico,Yo lo creo.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Otavio,Y no pensé que la palabra que dio de matarle vuesasté no se cumpliera tan bien como se cumplió la paga. ¿Esto es ser hombre de bien?,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Enrico,"No mato a hombres viejos yo; y si a voarcé le ofendió vaya y mátele al momento, que yo quedo muy contento con la paga que me dio.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Otavio,El dinero ha de volverme.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Enrico,"Váyase voarcé con Dios, no quiera enojado verme, que juro a Dios...",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Otavio,Mi dinero he de cobrar.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Enrico,Pues yo no lo pienso dar.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Otavio,Eres un gallina.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Enrico,Mientes.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Otavio,Muerto soy.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Enrico,Mucho lo sientes.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Enrico,"A hombres como tú arrogantes doy la muerte yo, no a viejos que con canas y consejos vencen ánimos gigantes. Y si quisieres probar lo que llego a sustentar, pide a Dios, si Él lo permite, que otra vez te resucite, y te volveré a matar.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Gobernador,"Prendedle, dadle la muerte.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Enrico,"Vengan seiscientos. Si me prenden, Galván, mi muerte es cierta; si me defiendo, puede hacer mi dicha que no me maten y que yo me escape, y más quiero morir con honra y fama. Aquí está Enrico. ¿No llegáis, cobardes?",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Enrico,Cerquen que vive Dios que tengo de arrojarme por entre todos.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Enrico,Pues haz cuenta que César va contigo.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Gobernador,¿Eres demonio?,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Enrico,Soy un hombre solo que huye de morir.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Gobernador,"Pues date preso, y yo te libraré.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Enrico,"No pienso en eso, ansí habéis de prenderme.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Gobernador,"¡Ay de mí, muerto soy!",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Uno,¡Gran desdicha! Mató al Gobernador; mala palabra.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Enrico,"Ya aunque la tierra sus entrañas abra y en ella me sepulte, es imposible que me pueda escapar; tú, mar soberbio, en tu centro me esconde; con la espada en la boca tengo de arrojarme. Tened misericordia de mi alma, Señor inmenso, que aunque soy tan malo, no dejo de tener conocimiento de vuestra santa fe. ¿Pero qué hago, al mar quiero arrojarme cuando dejo triste, afligido, un miserable viejo? Al padre de mi vida volver quiero, y llevarle conmigo; a ser Eneas del viejo Anquises.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
