work_author,work_title,work_url
Lope de Vega,Las bizarrías de Belisa,https://www.cervantesvirtual.com/portales/teatro_clasico_espanol/obra/la-bizarrias-de-elisa/
Tirso de Molina,El burlador de Sevilla,https://www.cervantesvirtual.com/portales/teatro_clasico_espanol/obra/el-burlador-de-sevilla-0/
Tirso de Molina,El condenado por desconfiado,https://www.cervantesvirtual.com/portales/teatro_clasico_espanol/obra/el-condenado-por-desconfiado-0/
